Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
12-Jan-26,HFCK,HF Group Ltd,5.3,11.5,10.3,10.5,10.35,10.35,-,-,177327,-
12-Jan-26,IMH,I & M Holdings Plc,29.5,52,43,46,44.6,44.9,-0.3,-0.67%,302805,-
12-Jan-26,KCB,KCB Group Plc,35,80.5,66.5,68,67,67,-,-,432156,-
12-Jan-26,NCBA,NCBA Group Plc,48,100,88,90,89.25,89,0.25,0.28%,26981,-
12-Jan-26,SBIC,Stanbic Holdings Plc,147,270,197.5,198,198,197.75,0.25,0.13%,4153,-
12-Jan-26,SCBK,Standard Chartered Bank Kenya Ltd,260,365,305,310,307.5,305.75,1.75,0.57%,6229,-
12-Jan-26,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
12-Jan-26,EVRD,Eveready East Africa Ltd,0.75,1.78,1.35,1.42,1.4,1.37,0.03,2.19%,39671,-
12-Jan-26,XPRS,Express Kenya Plc,2.8,10,7.2,7.5,7.34,7.32,0.02,0.27%,1988,-
12-Jan-26,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
12-Jan-26,KQ,Kenya Airways Plc,1.56,6.02,3.35,3.44,3.39,3.42,-0.03,-0.88%,234052,-
12-Jan-26,LKL,Longhorn Publishers Plc,2.35,3.5,2.58,2.9,2.78,2.81,-0.03,-1.07%,2515,-
12-Jan-26,NBV,Nairobi Business Ventures Ltd,1.33,2.16,1.39,1.55,1.44,1.41,0.03,2.13%,81707,-
12-Jan-26,NMG,Nation Media Group Plc,10.05,20,11.8,12.6,12.6,12,0.6,5.00%,39470,-
12-Jan-26,SMER,Sameer Africa Plc,2.7,21.5,14,14.95,14.5,14.4,0.1,0.69%,33499,-
12-Jan-26,SGL,Standard Group Plc,5.2,7.14,5.7,6.16,5.86,5.86,-,-,2168,-
12-Jan-26,TPSE,TPS Eastern Africa (Serena) Ltd,13.05,18.2,15.5,15.75,15.75,15.55,0.2,1.29%,9806,-
12-Jan-26,UCHM,Uchumi Supermarket Plc,0.23,2.93,1.1,1.27,1.21,1.16,0.05,4.31%,889275,-
12-Jan-26,SCAN,WPP ScanGroup Plc,2,3.4,2.3,2.55,2.36,2.32,0.04,1.72%,52171,-
12-Jan-26,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
12-Jan-26,BAMB,Bamburi Cement Ltd,47.2,56.5,47.2,47.2,47.2,47.2,-,-,-,-
12-Jan-26,CRWN,Crown Paints Kenya Plc,30,70.75,52,58.75,55.25,57.75,-2.5,-4.33%,1666,-
12-Jan-26,CABL,East African Cables Plc,1,2.44,1,1,1,1,-,-,-,-
12-Jan-26,PORT,East African Portland Cement Ltd,28,101,74,82,81.5,74.75,6.75,9.03%,4351,-
12-Jan-26,KEGN,Kenya Electricity Generating Company Plc,4.5,10.75,9.82,9.96,9.9,9.82,0.08,0.81%,1750334,-
12-Jan-26,KPLC-P4,KPLC-P4,4,5,5,5,5,5,-,-,-,-
12-Jan-26,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
12-Jan-26,KPLC,Kenya Power and Lighting Company Plc,5.7,19,14.95,15.4,15.15,15.05,0.1,0.66%,935970,-
12-Jan-26,TOTL,TotalEnergies Marketing Kenya Plc,21,47,38,39.5,38.3,39,-0.7,-1.79%,19516,-
12-Jan-26,UMME,Umeme Ltd,5.8,24.75,8.14,8.4,8.26,8.3,-0.04,-0.48%,97109,-
12-Jan-26,BRIT,Britam Holdings Plc,5.92,13.4,9.24,9.5,9.46,9.24,0.22,2.38%,240481,-
12-Jan-26,CIC,CIC Insurance Group Ltd,2.55,6.62,4.42,4.6,4.49,4.56,-0.07,-1.54%,422475,-
12-Jan-26,JUB,Jubilee Holdings Ltd,182,437.75,335,350,338,345.75,-7.75,-2.24%,541,-
12-Jan-26,KNRE,Kenya Re-Insurance Corporation Ltd,1.5,4.02,3.15,3.2,3.18,3.17,0.01,0.32%,773597,-
12-Jan-26,LBTY,Liberty Kenya Holdings Ltd,9.1,12.2,10.1,10.5,10.2,10.25,-0.05,-0.49%,14521,-
12-Jan-26,SLAM,Sanlam Allianz Holdings (Kenya) Plc,5.5,11,8.48,8.5,8.5,8.5,-,-,56031,-
12-Jan-26,CTUM,Centum Investment Company Plc,10.85,16.75,13.05,13.95,13.6,13.35,0.25,1.87%,29411,-
12-Jan-26,HAFR,Home Afrika Ltd,0.48,1.93,1.28,1.32,1.29,1.32,-0.03,-2.27%,336058,-
12-Jan-26,KURV,Kurwitu Ventures Ltd,1400,1500,1500,1500,1500,1500,-,-,-,-
12-Jan-26,OCH,Olympia Capital Holdings Ltd,3.12,9,8.3,8.5,8.46,8.36,0.1,1.20%,32831,-
12-Jan-26,TCL,Trans-Century Plc,0.71,1.42,0.71,0.71,0.71,0.71,-,-,-,-
